legal_text,simplified_text
"Removal of restrictions on repeated enfranchisement and extension claims
(1)In the LRA 1967—
(a)omit section 9(3)(b) and the “and” preceding it (prohibition on further claim);
(b)in section 16, omit subsections (1)(b), (2) and (3) (prohibition of further extension of lease);
(c)in section 20, omit subsections (5) and (6) (power of court to void further claims);
(d)in section 23 (agreements excluding or modifying rights of tenant), in subsection (2)(b), omit the words from “or any provision” to “or any part of it”;
(e)in Schedule 3, omit paragraph 4(3) (power of court to void further claims).
(2)In the LRHUDA 1993—
(a)omit section 13(9) (prohibition of further claim for collective enfranchisement);
(b)omit section 42(7) (prohibition of further claim for new lease).","Removing Restrictions on Repeated Claims for Enfranchisement and Lease Extension: 
In the LRA 1967 and the LRHUDA 1993, certain provisions that prohibited making further claims for enfranchisement or lease extension are being removed. This includes the ability to void further claims and the prohibition of further claims for collective enfranchisement and new lease."
"Change of non-residential limit on collective enfranchisement claims
In section 4(1)(b) of the LRHUDA 1993 (non-residential limit on collective enfranchisement claims), for “25 per cent.” substitute “50%”.
","Amending the Non-Residential Limit on Group Property Purchase Claims: In the Landlord and Tenant Act 1993, the limit for non-residential properties in collective property purchase claims is changed from 25% to 50%."
"Eligibility for enfranchisement and extension: specific cases
Schedule 3 makes provision about the availability of rights to enfranchisement and extension under the LRA 1967 and the LRHUDA 1993 in certain specific cases.
","Eligibility for Buying Freehold or Extending Lease: Specific Situations
Schedule 3 outlines when individuals have the right to buy the freehold of their property or extend their lease under the LRA 1967 and the LRHUDA 1993 in certain specific cases."
"Right to require leaseback by freeholder after collective enfranchisement
(1)The LRHUDA 1993 is amended as follows.
(2)In section 13(3) (contents of initial notice), after paragraph (c) insert—
“(ca)specify any flats or other units contained in the specified premises which it is proposed will be leased back to the freeholder under section 36 and Part 3A of Schedule 9;”.
(3)In section 21(3)(a) (contents of counter-notice), in sub-paragraph (ii), after “leaseback proposals” insert “under Part 2 or 3 of Schedule 9”.
(4)In section 36 (nominee purchaser required to grant leases back to former freeholder in certain circumstances)—
(a)after subsection (1) insert—
“(1A)In connection with the acquisition by the nominee purchaser of a freehold interest in the specified premises, the person from whom the interest is acquired must accept a grant of a lease of a flat or other unit contained in the specified premises, or part of such a flat or other unit, where required to do so by Part 3A of Schedule 9.”;
(b)in subsection (2), for “such lease” substitute “lease required under this section and Schedule 9 to be granted or accepted”;
(c)in subsection (4), for “II or III” substitute “2, 3 or 3A”;
(d)for the heading substitute “Required grant and acceptance of leasebacks in certain circumstances”.","Requiring Freeholder to Lease Back After Enfranchisement:

(1) Change to LRHUDA 1993: The LRHUDA 1993 law is updated as follows.

(2) Initial Notice Contents: In section 13(3) (details in the initial notice), after point (c), add: 
“(ca) specify any flats or units in the specified premises that are proposed to be leased back to the freeholder under section 36 and Part 3A of Schedule 9.”

(3) Counter-notice Contents: In section 21(3)(a) (details of counter-notice), in sub-point (ii), after ""leaseback proposals"", add ""under Part 2 or 3 of Schedule 9.""

(4) Nominee Purchaser Leases: In section 36 (nominee purchaser required to grant leases back to former freeholder in certain circumstances):
(a) after subsection (1), add:
“(1A) When the nominee purchaser acquires a freehold interest in the specified premises, the person from whom the interest is acquired must accept a lease of a flat or unit in the specified premises, or part of one, as required by Part 3A of Schedule 9.”;
(b) in subsection (2), replace ""such lease"" with ""lease required under this section and Schedule 9 to be granted or accepted"";
(c) in subsection (4), replace ""II or III"" with ""2, 3 or 3A"";
(d) change the heading to ""Required grant and acceptance of leasebacks in certain circumstances""."
"5)In Schedule 9 (grant of leases back to former freeholder)—
(a)in paragraph 1(1), in the definition of “the demised premises”, for “II or III” substitute “2, 3 or 3A”;
(b)after Part 3 insert—
“Part 3A
RIGHT OF NOMINEE PURCHASER TO REQUIRE LEASEBACK OF CERTAIN UNITS

Flats and other units without participating tenants
7A(1)This paragraph applies where a flat or other unit contained in the specified premises is not let to a participating tenant immediately before the appropriate time.
(2)This paragraph does not apply to a flat or other unit to which paragraph 2 or 3 applies.
(3)This paragraph does not apply where—
(a)a flat is leased to a qualifying tenant immediately before the appropriate time,
(b)a lease of the flat that is superior to the lease held by the qualifying tenant exists at that time, and
(c)the nominee purchaser has decided, in accordance with paragraph 2(5) of Schedule A1, to acquire the superior lease insofar as it comprises the flat.
(4)Where this paragraph applies, the freeholder must, if the nominee purchaser by notice requires them to do so, accept a lease of the flat or other unit in accordance with section 36 and paragraph 7B below.
(5)If, immediately before the appropriate time, the flat or other unit in question is comprised in two or more different freehold titles—
(a)a grant of a lease to a freeholder under this paragraph may only provide for so much of the flat or other unit as was comprised in the freehold title owned by the freeholder immediately before the appropriate time to be leased to that freeholder;
(b)a grant of a lease under this paragraph for part of a flat or other unit does not have to be accepted by the freeholder unless a separate lease under this paragraph is granted to the freeholder of every other freehold title in which the flat or unit in question is comprised.","Granting Leaseback Rights: In Schedule 9, changes are made to the definition of ""the demised premises"" to include different sections, and a new section is added to allow a nominee purchaser to require leaseback of certain units under specific conditions.

Conditions for Leaseback: If a flat or unit is not leased to a participating tenant and does not fall under specific exceptions, the freeholder must accept a leaseback if the nominee purchaser requests it, subject to certain criteria. If the flat or unit is comprised in multiple freehold titles, specific conditions also apply.
"
"Provisions as to terms of lease
7B(1)Any lease granted to the freeholder under paragraph 7A, and any agreement collateral to it, must conform with the provisions of Part 4 of this Schedule except to the extent that any departure from those provisions—
(a)is agreed to by the nominee purchaser and the freeholder, or
(b)is directed by the appropriate tribunal on an application made by either of those persons.
(2)The appropriate tribunal may not direct any such departure from those provisions unless it appears to the tribunal that it is reasonable in the circumstances.
(3)In determining whether any such departure is reasonable in the circumstances, the tribunal must—
(a)have particular regard to the interests of any person who will be the tenant of the flat or other unit in question under a lease inferior to the lease to be granted to the freeholder;
(b)where the flat or other unit in question is comprised in two or more different freehold titles immediately before the appropriate time, take that into account.
(4)Subject to the preceding provisions of this paragraph, any such lease or agreement as is mentioned in sub-paragraph (1) may include such terms as are reasonable in the circumstances.”;
(c)in paragraph 10, after sub-paragraph (2) insert—
“(3)In the application of this paragraph or paragraph 11 to a lease under paragraph 7A for part of a flat or other unit where that flat or other unit is comprised in two or more different freehold titles immediately before the appropriate time—
(a)a reference to “other property” in this paragraph or paragraph 11 includes any other part of the flat or other unit in question, and
(b)an obligation under this paragraph or paragraph 11 to include in the lease a particular kind of provision in relation to other property is to be construed accordingly.”;
(d)in paragraph 16(2), for “4 or 7” substitute “4, 7 or 7B”.","Lease Terms:
Any lease given to the owner of the property and any related agreements must comply with the requirements outlined in Part 4 of this Schedule, unless the owner and the buyer agree to different terms, or a tribunal orders otherwise. The tribunal can only order different terms if it seems reasonable in the circumstances. In considering reasonableness, the tribunal must consider the interests of anyone who will be renting the property. The lease or agreement may include other reasonable terms."
"Longer lease extensions
(1)In section 14(1) of the LRA 1967 (obligation to grant extended lease), for “fifty years” substitute “990 years”.
(2)In section 56(1) of the LRHUDA 1993 (obligation to grant new lease), in the words after paragraph (b), for “90 years” substitute “990 years”.
","Extending Lease Periods: 

To extend the lease period, change ""fifty years"" to ""990 years"" in the LRA 1967 and change ""90 years"" to ""990 years"" in the LRHUDA 1993."
"Lease extensions under the LRA 1967 on payment of premium at peppercorn rent
(3)In section 15 (terms of tenancy to be granted on extension)—
(a)for subsection (2) substitute—
“(2)The new tenancy must provide that as from the date it is granted the rent payable for the house and premises is a peppercorn rent.
(2A)But if the existing tenancy is a shared ownership lease, the rent payable for the house and premises under the new tenancy is as follows (and subsection (2) does not apply)—
(a)if the existing tenancy provides for rent to be payable in respect of the landlord’s share in the house and premises, subsection (1) applies to the terms of the new tenancy relating to that rent;
(b)whether or not the existing tenancy provides for rent to be payable in respect of the tenant’s share in the house and premises, the new tenancy must provide that, as from the date it is granted, a peppercorn rent is payable in respect of the tenant’s share;
and a reference in any enactment (whenever passed or made) to rent payable in accordance with subsection (2) includes a reference to the rent payable in accordance with this subsection.
(2B)For the purposes of subsection (2A), if the existing tenancy does not reserve separate rents in respect of the tenant’s share in the house and premises and the landlord’s share in the house and premises, any rent reserved is to be treated as reserved in respect of the landlord’s share.
(2C)In this section “peppercorn rent” has the same meaning as in the Leasehold Reform (Ground Rent) Act 2022 — see section 4(3) of that Act.”;
(b)in subsection (3)—
(i)for “rent”, in the first place it occurs, substitute “peppercorn rent”;
(ii)for “the time when rent becomes payable in accordance with subsection (2) above” substitute “the original term date”;
(c)in subsection (6)—
(i)omit “the first reference in subsection (2) above to that date shall have effect as a reference to the grant of the new tenancy; but”;
(ii)omit “(after making any necessary apportionment)”;
(iii)omit “rent and” in both places it occurs;
(iv)after “section 14(3)(a) above shall apply” insert “in respect of those matters”.
(4)In section 21(1) (jurisdiction of tribunals), omit paragraph (b).
(5)In section 31(2)(a) (ecclesiastical property), omit “or rent”.
(6)In Schedule 1 (enfranchisement or extension by sub-tenants), in paragraph 10(4)—
(a)omit the words from the first “shall give effect to” to “intermediate landlord, and”;
(b)for “any of those landlords” substitute “the landlord granting the new tenancy, the immediate landlord of whom the new tenancy will be held and any intermediate landlord”.","Lease Extension at Peppercorn Rent: Under the Leasehold Reform Act of 1967, the terms of a tenancy must include the requirement that, upon extension, the rent payable for the property is reduced to a peppercorn rent. However, if the existing tenancy is a shared ownership lease, different rules apply. The term ""peppercorn rent"" has the same meaning as defined in the Leasehold Reform (Ground Rent) Act of 2022. Some amendments are made to specific sections and provisions in the Act."
"Lease extensions under the LRA 1967 on payment of premium at peppercorn rent
(1)The LRA 1967 is amended as follows.
(2)In section 14 (obligation to grant extended lease)—
(a)in subsection (1), for “, in substitution for the existing tenancy” substitute “—
(a)in substitution for the existing tenancy, and
(b)on paying the price payable (see section 14A) in respect of the grant,”;
(b)omit subsection (2)(c);
(c)in subsection (3), in the words before paragraph (a), after “otherwise than on tender” insert “, in addition to the price payable,”;
(d)after subsection (7) insert—
“(8)The right to an extended lease may be exercised in relation to a lease previously granted under this section; and the provisions of this Part are to apply, with any necessary modifications, for the purposes of or in connection with any claim to exercise that right in relation to a lease so granted as they apply for the purposes of or in connection with any claim to exercise that right in relation to a lease which has not been so granted.”
Section 14A (referred to in subsection (2)(a)) is inserted by section 35 of this Act.
","Extension of Leases: Making Changes to LRA 1967
The LRA 1967 law is being updated as follows:
- Section 14, which deals with the obligation to grant extended leases, is being changed to include the payment of a price in addition to the existing tenancy.
- Subsection (2)(c) is being removed.
- In subsection (3), additional payment is to be made in certain circumstances.
- A new provision is being inserted to allow for the exercise of the right to an extended lease for leases previously granted under this section, with some necessary adjustments in the application of the law.

Please note that Section 14A, which is mentioned in subsection (2)(a), is being added by another section of this Act."
"LRA 1967: determining price payable for freehold or lease extension
(1)The LRA 1967 is amended as follows.
(2)In section 9 (purchase price and costs of enfranchisement)—
(a)before subsection (1) insert—
“(A1)The price payable for a house and premises on a conveyance under section 8 is to be determined in accordance with section 37 of the Leasehold and Freehold Reform Act 2024.”;
(b)omit subsections (1) to (2).
(3)After section 14 insert—
“14AExtension of lease: determining the price payable
The price payable for an extended lease granted under section 14 is to be determined in accordance with section 37 of the Leasehold and Freehold Reform Act 2024.”
","Determining Price for Freehold or Lease Extension (LRA 1967)

The LRA 1967 is an older law that is getting some changes. Here's what's happening:

1. The LRA 1967 is being updated with some new rules.
2. In section 9, which deals with how much money you have to pay to buy a house or extend a lease:
   - They are adding a new rule that says the price you pay for a house and land when you buy it has to be figured out using a new law called the Leasehold and Freehold Reform Act 2024.
   - They are getting rid of some old rules about how the price was determined before.
3. After section 14, they are adding a new section called 14A:
   - This new section says that when you extend a lease, the price you have to pay will also be worked out using the new law called the Leasehold and Freehold Reform Act 2024."
"LRHUDA 1993: determining price payable for collective enfranchisement or new lease
(1)The LRHUDA 1993 is amended as follows.
(2)In section 32 (determination of price for collective enfranchisement), for subsection (1) substitute—
“(1)The price payable on the acquisition of a freehold and other interests under this Chapter is to be determined in accordance with section 37 of the Leasehold and Freehold Reform Act 2024.”
(3)In section 56 (obligation to grant new lease)—
(a) in subsection (1), for paragraph (b) substitute—
“(b)on payment of the price payable in respect of the grant as determined in accordance with section 37 of the Leasehold and Freehold Reform Act 2024,”;
(b)after subsection (1) insert—
“(1A)But if the existing lease is a shared ownership lease, the rent payable under the new lease of the flat is as follows (and subsection (1) does not apply for the purpose of specifying the rent under the new lease)—
(a)whether or not the existing lease provides for rent to be payable in respect of the tenant’s share in the flat, the new lease must provide for a peppercorn rent to be payable in respect of the tenant’s share;
(b)if the existing lease provides for rent to be payable in respect of the landlord’s share in the flat, section 57(1) applies to the terms of the new lease relating to that rent;
and a reference in any enactment (whenever passed or made) to rent payable in accordance with subsection (1) includes a reference to the rent payable in accordance with this subsection.
(1B)For the purposes of subsection (1A), if the existing lease does not reserve separate rents in respect of the tenant’s share in the flat and the landlord’s share in the flat, any rent reserved is to be treated as reserved in respect of the landlord’s share.”
(4)Omit Schedule 6 (purchase price payable by nominee purchaser).
(5)Omit Schedule 13 (premium and other amounts payable by tenant on grant of new lease).","Determining Price for Collective Enfranchisement or New Lease

(1) The LRHUDA 1993 is changed in the following ways.
(2) In section 32 (deciding the price for collective enfranchisement), replace subsection (1) with:
""The price to be paid when acquiring a freehold and other interests under this Chapter will be decided according to section 37 of the Leasehold and Freehold Reform Act 2024.""
(3) In section 56 (obligation to grant new lease):
(a) In subsection (1), replace paragraph (b) with:
""On paying the determined price for the lease grant according to section 37 of the Leasehold and Freehold Reform Act 2024,""
(b) Insert after subsection (1):
""If the existing lease is a shared ownership lease, the rent payable under the new lease of the flat is as follows (and subsection (1) does not apply for specifying the rent under the new lease):
Whether or not the existing lease requires rent for the tenant’s share in the flat, the new lease must require a peppercorn rent for the tenant’s share;
If the existing lease requires rent for the landlord’s share in the flat, section 57(1) applies to the terms of the new lease regarding that rent;
Any reference in any law to rent payable according to subsection (1) also refers to the rent payable according to this subsection.
For the purposes of subsection (1A), if the existing lease does not reserve separate rents for the tenant’s share in the flat and the landlord’s share in the flat, any rent reserved is considered reserved for the landlord’s share.""
(4) Remove Schedule 6 (purchase price payable by nominee purchaser).
(5) Remove Schedule 13 (premium and other amounts payable by tenant on grant of new lease)."
"Enfranchisement or extension: new method for calculating price payable
(1)Where this section applies to the acquisition of a freehold or grant of a lease, the price payable is—
(a)the market value, and
(b)the other compensation (if any).
(2)Schedule 4 sets out—
(a)how the market value is to be determined — see Parts 1 to 5 and 7 of the Schedule, and
(b)how to divide the market value into shares (where loss is suffered by certain landlords other than the landlord transferring the freehold or granting the lease) — see Part 6 of the Schedule.
(3)Schedule 5 sets out when other compensation is payable and how to determine its amount.
(4)Schedule 6 contains interpretation provision applicable to Schedules 4 and 5.
(5)Schedule 7 contains amendments of the LRA 1967 and the LRHUDA 1993 that are consequential on sections 35 and 36, this section and Schedules 4 to 6.
(6)These are the provisions under which this section applies to the acquisition of a freehold or grant of a lease—
(a)section 9(A1) of the LRA 1967 (transfer of a freehold house under the LRA 1967);
(b)section 14A(1) of the LRA 1967 (grant of an extended lease of a house under the LRA 1967);
(c)section 32(1) of the LRHUDA 1993 (collective enfranchisement of a building under the LRHUDA 1993);
(d)section 56(1)(b) of the LRHUDA 1993 (grant of a new lease of a flat under the LRHUDA 1993).
(7)This section has effect subject to the following provisions (which provide for the adjustment of the price payable where property is in the area of a management scheme)—
(a)section 19(10)(b) of the LRA 1967;
(b)section 70(12)(b) and (c) of the LRHUDA 1993.
(8)In this Part—
(a)“transfer of a freehold house under the LRA 1967” means the conveyance or transfer of the freehold of a house and any other premises under Part 1 of the LRA 1967;
(b)“grant of an extended lease of a house under the LRA 1967” means the grant of an extended lease of a house and any other premises under Part 1 of the LRA 1967;
(c)“collective enfranchisement of a building under the LRHUDA 1993” means the acquisition by a nominee purchaser of a freehold and any other interests under Chapter 1 of Part 1 of the LRHUDA 1993;
(d)“grant of a new lease of a flat under the LRHUDA 1993” means the grant of a new lease under Chapter 2 of Part 1 of the LRHUDA 1993.","Calculating Price for Enfranchisement or Extension:

When this section applies to obtaining a freehold or granting a lease, the amount to be paid is:
- the market value, and
- any additional compensation.

The detailed process for determining the market value and compensation is outlined in Schedules 4 and 5.

Schedule 6 contains explanations that apply to Schedules 4 and 5.

The circumstances in which this section applies to acquiring a freehold or granting a lease are:
- transfer of a freehold house under the LRA 1967,
- grant of an extended lease of a house under the LRA 1967,
- collective enfranchisement of a building under the LRHUDA 1993,
- grant of a new lease of a flat under the LRHUDA 1993.

This section is subject to provisions that allow for adjustments to the amount payable when property is in the area of a management scheme.

Part 1 definitions:
- ""transfer of a freehold house under the LRA 1967"": conveyance or transfer of the freehold of a house and any other premises under Part 1 of the LRA 1967.
- ""grant of an extended lease of a house under the LRA 1967"": grant of an extended lease of a house and any other premises under Part 1 of the LRA 1967.
- ""collective enfranchisement of a building under the LRHUDA 1993"": acquisition by a nominee purchaser of a freehold and any other interests under Chapter 1, Part 1 of the LRHUDA 1993.
- ""grant of a new lease of a flat under the LRHUDA 1993"": grant of a new lease under Chapter 2, Part 1 of the LRHUDA 1993."
"No first-instance applications to the High Court in tribunal matters
(1)Where jurisdiction in respect of a matter is conferred on the appropriate tribunal exclusively under the LRA 1967 or a specified provision of the LRHUDA 1993, a person may not apply to the High Court in respect of that matter.
(2)Subsection (1) has no effect in relation to any proceedings that may be brought in the High Court for the purpose of challenging a decision, declaration, direction or order of the appropriate tribunal.
(3)The specified provisions of the LRHUDA 1993 are—
(a)Chapters 1, 2, 4 and 7 of Part 1;
(b)section 88.
(4)In subsection (1) “appropriate tribunal” has the same meaning as in the LRA 1967 or the specified provision of the LRHUDA 1993 (whichever is relevant).
(5)For the purposes of this section, jurisdiction in respect of a matter is conferred on the appropriate tribunal exclusively where—
(a)a provision of the LRA 1967 or the LRHUDA 1993 provides for the matter to be determined by the appropriate tribunal alone (and not by a court or the appropriate tribunal), or
(b)proceedings in respect of the matter fall within the jurisdiction of the appropriate tribunal by virtue of section 21A of the LRA 1967 or section 91A of the LRHUDA 1993.","Applications to the High Court: You cannot go to the High Court for certain matters if they fall under the jurisdiction of a specific tribunal as outlined in the Land Registration Act 1967 or specified provisions of the Land Registration Act 1993.

Exception: The above rule does not apply if you are bringing proceedings in the High Court to challenge a decision, declaration, direction, or order of the specified tribunal.

Specified Provisions: The specified provisions of the Land Registration Act 1993 are Chapters 1, 2, 4, and 7 of Part 1, and section 88.

Appropriate Tribunal: The ""appropriate tribunal"" means the tribunal designated under the Land Registration Act 1967 or the specified provision of the Land Registration Act 1993, whichever is relevant.

Exclusive Jurisdiction: A matter is under the exclusive jurisdiction of the appropriate tribunal if a provision of the Land Registration Act 1967 or the Land Registration Act 1993 states that the tribunal alone has the authority to decide on the matter, or if proceedings related to the matter fall within the tribunal's jurisdiction according to section 21A of the Land Registration Act 1967 or section 91A of the Land Registration Act 1993."
"Miscellaneous amendments
Schedule 8 contains miscellaneous further amendments to existing legislation relating to enfranchisement and extension.
",Amendments to Enfranchisement and Extension Laws: Schedule 8 includes various additional changes to existing laws about enfranchisement and extension.
"LRA 1967: preservation of existing law for certain enfranchisements
After section 7 of the LRA 1967 insert—
“7ATenant’s right to choose that pre-2024 Act law is to apply to freehold acquisition
(1)The tenant of a leasehold house may choose that this Act is to have effect in relation to the acquisition of the freehold of the house and premises without the amendments made by the Leasehold and Freehold Reform Act 2024, if the house and premises would be valued under section 9(1) (as it would have effect without those amendments).
(2)If—
(a)a person makes a claim to acquire a freehold under the preserved law, and
(b)as a result of that claim, further notices by that person are void by virtue of a statutory bar under the preserved law,
only further notices making claims under the preserved law are void by virtue of that statutory bar.
(3)In subsection (2)—
“preserved law” means this Part as it has effect (by virtue of subsection (1)) without the amendments made by the Leasehold and Freehold Reform Act 2024;
“statutory bar” means—
(a)
section 9(3)(b), or
(b)
an order under section 20(6) or paragraph 4(3) of Schedule 3.
(4)Subsection (1) does not apply in any of the following cases—
(a)the tenancy was created by the grant of a lease under Part 5 of the Housing Act 1985 (a “right to buy lease”);
(b)the tenancy is, by virtue of section 3(3), treated as a single tenancy with a tenancy created by the grant of a right to buy lease;
(c)the tenancy is a sub-tenancy directly or indirectly derived out of a tenancy falling within paragraph (a) or (b);
(d)the tenancy was granted under this Part in substitution for a tenancy or sub-tenancy falling within paragraph (a), (b) or (c).”","LRA 1967: Preservation of Existing Law for Certain Enfranchisements
Addition to LRA 1967 after section 7:
Tenant’s Right to Choose Pre-2024 Act Law for Freehold Acquisition
1)	Leasehold house tenants can choose for this Act to apply to the acquisition of the freehold of their house and premises without the changes made by the Leasehold and Freehold Reform Act 2024, if the house and premises would be valued under section 9(1) without those changes.
2)	If someone claims to acquire a freehold under the preserved law, and as a result, further notices by that person are void due to a legal restriction under the preserved law, only further notices under the preserved law are void due to that legal restriction.
3)	In subsection (2):
“preserved law” means this Part as it applies (as per subsection 1) without the changes made by the Leasehold and Freehold Reform Act 2024;
“legal restriction” means section 9(3)(b), or an order under section 20(6) or paragraph 4(3) of Schedule 3.
4)	Subsection (1) does not apply in any of the following cases:
(a)	The tenancy was created under Part 5 of the Housing Act 1985 (a “right to buy lease”);
(b)	The tenancy is treated as a single tenancy with a tenancy created by the grant of a right to buy lease;
(c)	The tenancy is a sub-tenancy derived from a tenancy falling within (a) or (b);
(d)	The tenancy was granted under this Part in replacement of a tenancy or sub-tenancy falling within (a), (b), or (c)."
"Costs of right to manage claims
(1)The CLRA 2002 is amended as follows.
(2)In section 82 (right to obtain information before right to manage claim)—
(a)in subsection (2)(b), omit “on payment of a reasonable fee”;
(b)after subsection (3) insert—
“(4)The RTM company is liable for the reasonable costs incurred by a person in complying (in accordance with this section) with a notice under this section.
(5)Any question arising in relation to the amount of the costs payable by the RTM company is, in default of agreement, to be determined by the appropriate tribunal.”","Costs of right to manage claims:

Changes to the Commonhold and Leasehold Reform Act 2002:

In section 82 (right to obtain information before right to manage claim):

- Remove the requirement for a reasonable fee to obtain information before making a right to manage claim.

- The right to manage (RTM) company is responsible for paying reasonable costs incurred by a person in providing information in compliance with this section.

- If there is a disagreement about the amount of costs to be paid by the RTM company, it will be decided by the appropriate tribunal."
"(3)After section 87 insert—
“87ACosts: general
(1)An RTM company and a member of an RTM company are not liable for any costs incurred by any other person in consequence of a claim notice given by the company in relation to any premises, except as set out in this section.
(2)A lease, transfer, contract or other arrangement is accordingly of no effect to the extent it would provide to the contrary.
(3)An RTM company is liable to a member of the company in respect of costs incurred by the member to the extent agreed between the company and the member.
(4)A member of an RTM company—
(a)is liable to the company in respect of costs incurred by the company to the extent agreed between the member and the company;
(b)is liable to another member of the company in respect of costs incurred by that other member to the extent agreed between the two members.
(5)An RTM company or a member of an RTM company are liable for costs incurred by another person in connection with proceedings before a court or tribunal if—
(a)the court or tribunal has power under another enactment to order that they pay those costs, and
(b)the court or tribunal makes such an order.
(6)An RTM company and a member of an RTM company are liable for costs incurred by another person in the circumstances referred to in section 87B.
(7)For the purposes of this section, “member”, in relation to an RTM company, means each person who is or has been a member of the RTM company.
(8)See also sections 20CA and 20J of the Landlord and Tenant Act 1985, which prevent costs in connection with a claim under this Chapter being recovered by way of a variable service charge (within the meaning of section 18 of that Act).","Costs: General

An RTM company and its members are not responsible for paying the expenses of any other person as a result of a claim notice issued by the company regarding any property, except as explained in this section. Any lease, transfer, contract, or agreement that says otherwise is not valid.

The RTM company is responsible for paying its members for any agreed-upon expenses incurred. Similarly, a member of the RTM company is responsible for paying the company for any agreed-upon expenses, as well as another member for their expenses.

If a court or tribunal has the authority under another law to order the RTM company or its members to pay costs, and they issue such an order, then the company or its members are indeed liable for those costs.

The RTM company and its members are responsible for the costs incurred by another person under the circumstances outlined in section 87B.

For the purposes of this section, ""member"" means each person who is currently or has previously been a member of the RTM company.

Please also refer to sections 20CA and 20J of the Landlord and Tenant Act 1985, which prohibit the recovery of expenses related to a claim under this Chapter through a variable service charge."
"87BPower of tribunal to order costs where claim ceases
(1)The appropriate tribunal may, on the application of a person (“the applicant”) that incurs costs in consequence of a claim notice given by an RTM company, order that the RTM company is liable to the applicant for the costs if all of the conditions in subsection (2) are met.
(2)The conditions are—
(a)the claim notice—
(i)is at any time withdrawn or deemed to be withdrawn by virtue of any provision of this Chapter, or
(ii)at any time ceases to have effect by reason of any other provision of this Chapter;
(b)the RTM company acts unreasonably in—
(i)giving the claim notice, or
(ii)not withdrawing it, causing it to be deemed withdrawn, or causing it to cease to have effect sooner;
(c)the applicant is—
(i)a landlord under a lease of the whole or any part of the premises,
(ii)party to such a lease otherwise than as landlord or tenant, or
(iii)a manager appointed under Part 2 of the 1987 Act to act in relation to the premises, or any premises containing or contained in the premises;
(d)the costs are incurred before the claim notice is withdrawn, is deemed withdrawn, or ceases to have effect;
(e)the costs are incurred other than in connection with proceedings before a court or tribunal;
(f)the costs are reasonably incurred.
(3)Where the appropriate tribunal orders that an RTM company is liable under subsection (1), each person who is or has been a member of the RTM company is also liable (jointly and severally with the RTM company and each other such person).
(4)But a person is not liable if—
(a)the lease by virtue of which they were a qualifying tenant has been assigned to another person, and
(b)that other person has become a member of the RTM company.
(5)The reference in subsection (4) to an assignment includes—
(a)an assent by personal representatives, and
(b)assignment by operation of law where the assignment is to a trustee in bankruptcy or to a mortgagee under section 89(2) of the Law of Property Act 1925 (foreclosure of leasehold mortgage).”
(4)Omit sections 88 and 89 (costs of right to manage claims).
","Power of Tribunal to Order Costs: The Tribunal has the authority to decide that a Right to Manage (RTM) company must compensate a person for costs incurred due to a claim notice issued by the RTM company, given that specific conditions are met.

Conditions for Liability: The conditions for the RTM company to be held responsible for costs include the withdrawal or cessation of the claim notice, unreasonable behavior by the RTM company in issuing or failing to withdraw the claim notice, and the reasonable and proper incurring of costs by the applicant before the claim notice is withdrawn.

Liability of RTM Company Members: If the Tribunal orders the RTM company to pay, every member of the company, past or present, is jointly and severally liable to pay the costs.

Exceptions to Liability: A member of the RTM company may not be liable if their lease has been assigned to another person, and that person has become a member of the RTM company.

Removal of Other Sections: Sections 88 and 89 regarding costs of right to manage claims are to be omitted."
"Compliance with obligations arising under Chapter 1 of Part 2 of the CLRA 2002
(1)Section 107 of the CLRA 2002 (enforcement of obligations) is amended as follows.
(2)In subsection (1), for “county court” substitute “appropriate tribunal”.
(3)After subsection (2) insert—
“(3)Where an order other than an order to pay a sum of money has been made under subsection (1) by the appropriate tribunal—
(a)a person may apply to the county court for enforcement of the order;
(b)the appropriate tribunal may by order transfer proceedings to the county court for enforcement of the order;
and the order is to be enforceable by the court in the same way as an order of the court.
(4)See section 176C for general provision about the enforcement of tribunal decisions and section 27 of the Tribunals, Courts and Enforcement Act 2007 for provision about the enforcement of an order to pay a sum of money.”
(4)For the heading substitute “Power of tribunal to order compliance”.","Ensuring compliance with obligations under Chapter 1 of Part 2 of the CLRA 2002:

Making changes to enforcement: Section 107 of the CLRA 2002, which deals with enforcement of obligations, is being changed.

Enforcing orders from appropriate tribunal: If the appropriate tribunal makes an order other than a monetary one, a person can ask the county court to enforce it. The tribunal can also transfer the case to the county court for enforcement, and the court will enforce the order like its own.

General provisions for enforcement: Check section 176C for general rules about enforcing tribunal decisions and section 27 of the Tribunals, Courts and Enforcement Act 2007 for rules about enforcing an order to pay money. 

Changing the heading: The heading will be changed to ""Power of tribunal to order compliance."""
"No first-instance applications to the High Court in tribunal matters
(1)Where jurisdiction in respect of a matter is conferred on the appropriate tribunal under Chapter 1 of Part 2 of the CLRA 2002, a person may not apply to the High Court in respect of that matter.
(2)Subsection (1) has no effect in relation to any proceedings that may be brought in the High Court for the purpose of challenging a decision, declaration, direction or order of the appropriate tribunal.
(3)In subsection (1) “appropriate tribunal” has the same meaning as in the Chapter mentioned in that subsection.","Preventing High Court Applications in Tribunal Matters: If a certain matter falls under the jurisdiction of a tribunal according to a specific law, a person cannot go directly to the High Court to address that matter. However, this does not apply to cases where someone wants to challenge a decision, declaration, direction, or order made by the tribunal."
